id,value
id_0,4.716344428221781
id_1,17.106229358441052
id_2,24.254898214034338
id_3,8.521317597926252
id_4,27.908381604002635
id_5,21.650976848844945
id_6,22.776182357423842
id_7,31.22963719324838
id_8,17.149398562983166
id_9,58.83768122129186
id_10,15.386830852367948
id_11,10.980360043646655
id_12,61.63394669908066
id_13,52.15512862448996
id_14,21.6320177920597
id_15,11.233295105199575
id_16,31.62067193787862
id_17,68.48065811517453
id_18,-1.3876092341780364
id_19,16.713625587319896
id_20,42.02148561181989
id_21,71.36633752239044
id_22,9.085400690783587
id_23,18.070246884030347
id_24,14.993079695614549
id_25,38.139946016839176
id_26,14.136629523681773
id_27,72.98801683716246
id_28,7.896138063874284
id_29,55.31176183717895
id_30,23.242837626985036
id_31,7.935081695056235
id_32,2.4847205662700738
id_33,21.80563263411758
id_34,30.29973523676594
id_35,36.80152084655836
id_36,42.73752193942404
id_37,29.77778499963016
id_38,43.80641602016611
id_39,35.13689327278667
id_40,6.7879144537247775
id_41,39.82559052448172
id_42,31.704063325657142
id_43,50.127285705075856
id_44,15.76946818281787
id_45,35.01928881110757
id_46,25.069557862906763
id_47,10.560471711795385
id_48,23.78358809082694
id_49,31.93675937407016
id_50,21.44935240609407
id_51,9.083431617873417
id_52,21.46552668516
id_53,53.529045206151864
id_54,15.782097503204854
id_55,36.296259084597324
id_56,32.115921417473444
id_57,23.389404484155754
id_58,58.180754801707636
id_59,20.999757707731554
id_60,16.123563873400478
id_61,41.38147233730656
id_62,12.432658499327433
id_63,49.14378852267619
id_64,15.762744654078443
id_65,14.999587867278567
id_66,13.710087394717625
id_67,-0.039057267746123614
id_68,43.61035351460882
id_69,31.81963956563952
id_70,19.917618123931625
id_71,38.09617310636772
id_72,59.1788127850399
id_73,4.780081743879538
id_74,16.546210384161732
id_75,5.70584195177446
id_76,40.81204569876795
id_77,14.921249892553341
id_78,22.303751010661024
id_79,22.637384080125823
id_80,25.052837260797894
id_81,39.21937479484417
id_82,24.031296706044703
id_83,89.74331320688738
id_84,36.29784822751013
id_85,26.21500939685732
id_86,24.039907281991802
id_87,30.1636957996578
id_88,24.549783829722575
id_89,21.279192998759548
id_90,29.748272024995416
id_91,40.6121320793448
id_92,4.780708282206005
id_93,37.296611455264376
id_94,45.934497151268715
id_95,16.450970951205502
id_96,34.104042996600406
id_97,11.576710112375872
id_98,25.530957960815805
id_99,3.4307222761203615
id_100,18.50979761244083
id_101,28.322052158018383
id_102,12.138546596581435
id_103,15.748462489312127
id_104,22.91120130886635
id_105,39.12367401897404
id_106,29.479226827392598
id_107,6.689600423199213
id_108,9.142159640892233
id_109,77.4217332296809
id_110,46.073038508561666
id_111,14.997098672358728
id_112,28.159598908056843
id_113,14.933244091281377
id_114,14.017924228706757
id_115,25.36470113871504
id_116,24.811752533816556
id_117,9.86181602914921
id_118,18.103104828019063
id_119,19.492055755238965
id_120,80.91752516556284
id_121,25.031365185143773
id_122,34.93027470097344
id_123,25.25877471165338
id_124,8.421187302374456
id_125,40.795023899192074
id_126,10.745922392217718
id_127,19.04960939280896
id_128,27.639595407014383
id_129,62.581894559054376
id_130,22.047601764259216
id_131,22.247758441119373
id_132,59.417491731254614
id_133,14.899917216686585
id_134,14.750420296963132
id_135,2.2204231487166552
id_136,10.90498674029751
id_137,58.583916569569716
id_138,19.962550223693768
id_139,6.057358513228371
id_140,28.702155853224276
id_141,26.18832463227002
id_142,44.48921075943811
id_143,31.553391411419057
id_144,17.49322735936787
id_145,26.749598315570896
id_146,11.443055248887063
id_147,51.562120482051505
id_148,22.55011912293202
id_149,38.046172736067525
id_150,9.303620401399089
id_151,6.946279239261155
id_152,24.744494841429884
id_153,6.9469215912788975
id_154,14.931532534807621
id_155,41.66117739527319
id_156,7.944187767615215
id_157,36.82251852577015
id_158,10.658019129212
id_159,18.450755070036262
id_160,40.71083157642991
id_161,17.90524472889237
id_162,10.916548493990554
id_163,7.807452973853238
id_164,50.77049055736349
id_165,29.63964194639659
id_166,-0.3219055315351156
id_167,14.837902691472411
id_168,63.43796782100637
id_169,14.235882564554869
id_170,64.58562072222281
id_171,39.991467105643444
id_172,25.72516847778219
id_173,20.756677917975427
id_174,61.81139739280681
id_175,24.572217136668858
id_176,20.643763806571524
id_177,36.35874984620408
id_178,11.33261447220787
id_179,30.170456925143675
id_180,16.71714954392812
id_181,11.218193289946118
id_182,55.23561263423365
id_183,45.4150233526788
id_184,17.501511744533133
id_185,35.894101090201566
id_186,26.80347318961089
id_187,69.284550611322
id_188,9.776731352966372
id_189,55.70306839038527
id_190,37.80302543633574
id_191,16.679017004123565
id_192,29.980542667986846
id_193,0.8135909115813718
id_194,19.486819338157076
id_195,0.39926801571318293
id_196,34.29061775116305
id_197,10.449377767367025
id_198,18.565997282563877
id_199,61.77577350484046
id_200,23.959384968506527
id_201,22.520419531947134
id_202,64.51653041285434
id_203,9.841576547156999
id_204,9.686418726671643
id_205,11.470753031677589
id_206,8.98825276622216
id_207,2.5847768061444967
id_208,122.47310541624614
id_209,19.396392406685777
id_210,15.554446395257717
id_211,14.934222365787914
id_212,36.10300314388775
id_213,35.811929189317325
id_214,19.90988994009651
id_215,34.184582674282844
id_216,76.53556329153028
id_217,0.899769842730624
id_218,13.376989178831126
id_219,33.45083813184314
id_220,16.101987258876633
id_221,11.935594147548096
id_222,114.07014888221602
id_223,12.696119469771208
id_224,16.377942934270145
id_225,60.319427104569755
id_226,16.080211513602084
id_227,20.087063262691906
id_228,9.509709537046561
id_229,3.579427490209639
id_230,44.6157944141905
id_231,13.882809931604697
id_232,51.67167089712261
id_233,42.16649475393302
id_234,22.637055838540306
id_235,41.98132763968326
id_236,68.00649718842853
id_237,39.42117563560467
id_238,14.082663237239142
id_239,15.894323638382133
